Position,Relative_position,Mag_Sus,MSE,Incoherence,Coherence,Inc/Coh,Al,Si,Si/TI,P,S,Cl,Ar,K,Ca,Ti,Mn,Mn/Ti,Fe,Fe/Ti,Fe/S,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Pd,Cd,In,Sn,Sb,Cs,Ba,La,Pr,Nd,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,W,Re,Os,Au,Hg,Pb,Bi,Po,At,Ra,Ac,Th,U
49.5,100.91,NaN,2.27,23446,62543,0.374878084,352,3529,0.121434225,71,1535,30,3537,27824,29118,29061,565,0.019441864,243235,8.369808334,158.4592834,1555,51,0,202,8,650,0,362,485,45,128,84,70,0,0,38,303,237,33,995,590,568,619,1972,570,1049,573,331,160,387,135,71,0,0,0,165,133,0,108,75,0,0,343,208,149
50,101.41,16.43,2.39,22471,62731,0.358212048,294,3435,0.121223885,51,1486,21,3470,26745,31809,28336,1041,0.036737719,241045,8.50666996,162.2106326,1507,50,0,165,56,747,42,323,551,29,0,123,63,0,26,0,393,245,15,967,574,574,1031,2483,494,1253,580,308,106,350,155,88,0,0,0,125,136,0,67,57,0,0,686,185,51
50.5,101.91,NaN,2.08,22494,61727,0.364411036,324,3179,0.122907404,82,1751,50,3539,24137,29413,25865,1008,0.038971583,266727,10.31227528,152.3283838,1674,95,0,180,11,374,67,268,390,64,99,95,64,0,31,48,372,266,35,979,420,739,1026,2194,718,1303,578,273,152,378,65,64,0,0,0,133,247,27,0,45,0,0,258,240,98
51,102.41,NaN,3.51,23845,61823,0.385697879,291,2724,0.121460739,82,1841,69,3396,20934,23250,22427,199,0.008873233,297786,13.27801311,161.7523085,1773,61,0,270,39,718,0,169,258,18,0,104,79,0,18,187,191,224,116,1010,456,753,847,2788,730,1763,623,357,121,487,54,71,0,0,13,140,249,0,41,197,0,0,718,335,98
51.5,102.91,NaN,2.43,24090,60931,0.395365249,314,2675,0.113737829,31,1932,18,3544,21904,23054,23519,1263,0.053701263,287592,12.22807092,148.8571429,1617,58,0,218,22,720,43,386,251,21,0,75,48,24,0,91,268,220,81,1024,452,769,760,2797,679,1948,463,265,0,358,9,86,0,0,0,60,154,0,20,0,0,0,638,279,80
52,103.41,15.4,2.14,24186,60643,0.398825916,300,3028,0.121924703,55,1758,29,3531,23638,23965,24835,630,0.025367425,279863,11.26889471,159.1939704,1359,78,0,239,0,580,0,257,229,75,81,52,94,0,17,0,480,154,89,1006,461,723,763,3225,607,1995,537,293,49,340,0,50,0,0,0,76,132,0,18,152,32,92,563,242,138
52.5,103.91,NaN,3,21940,61656,0.355845335,360,3107,0.123288758,35,1715,25,3457,24058,24496,25201,1749,0.069402008,282920,11.22653863,164.96793,2040,187,0,289,0,778,0,301,260,0,0,88,110,0,68,56,305,96,63,917,385,734,903,1612,877,726,699,262,233,346,0,137,27,0,0,97,261,0,64,42,0,0,695,231,0
53,104.41,NaN,2.55,24926,60916,0.409186421,297,2971,0.122895553,34,1662,21,3424,23932,23402,24175,784,0.032430196,283466,11.72558428,170.55716,1709,94,0,339,0,654,0,289,350,37,0,0,67,0,0,0,359,202,46,889,428,656,573,2656,797,1204,549,132,0,432,26,173,0,0,0,69,221,0,35,0,0,0,594,261,153
53.5,104.91,NaN,2.32,24205,61522,0.393436494,349,3313,0.131776779,82,1662,60,3625,25692,24326,25141,848,0.033729764,276474,10.99693727,166.3501805,1678,30,0,284,10,445,0,311,420,18,95,105,0,0,0,0,468,169,64,937,443,648,838,2610,653,1075,715,281,68,354,58,96,0,0,0,70,241,31,10,42,22,10,316,273,148
54,105.41,14.41,2.38,24738,60896,0.406233579,351,3465,0.130695534,67,1577,52,3646,26079,25398,26512,849,0.032023235,248198,9.361722993,157.3861763,1558,145,0,289,55,638,42,435,462,25,140,54,24,0,0,221,318,145,69,764,500,673,537,2094,629,910,590,223,112,334,0,58,0,0,0,97,232,0,47,0,19,38,460,306,100
