Position,Relative_position,Mag_Sus,MSE,Incoherence,Coherence,Inc/Coh,Al,Si,Si/TI,P,S,Cl,Ar,K,Ca,Ti,Mn,Mn/Ti,Fe,Fe/Ti,Fe/S,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Pd,Cd,In,Sn,Sb,Cs,Ba,La,Pr,Nd,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,W,Re,Os,Au,Hg,Pb,Bi,Po,At,Ra,Ac,Th,U
88,139.41,14.4,2.03,22930,58838,0.38971413,323,3710,0.137117936,77,1469,29,3807,26158,29479,27057,1102,0.040728832,232353,8.587537421,158.1708645,1408,172,0,211,0,742,0,305,505,79,35,91,27,30,55,0,414,251,116,1079,410,728,833,2125,513,1433,445,374,156,503,0,112,6,0,0,30,126,0,14,135,63,21,579,273,0
88.5,139.91,NaN,1.72,22641,60657,0.373262773,374,3744,0.133939112,88,1355,35,3819,28002,30270,27953,1327,0.047472543,220529,7.889278432,162.7520295,1431,81,0,349,21,644,47,294,420,33,114,41,140,0,0,70,302,242,140,1079,454,743,751,2018,474,1345,551,322,189,372,35,24,0,0,4,148,177,0,0,22,0,89,399,217,0
89,140.41,NaN,1.51,22741,59385,0.38294182,356,4052,0.142310259,44,1296,10,3676,29272,29922,28473,1483,0.052084431,205828,7.228883504,158.8179012,1222,36,0,313,18,616,5,367,572,86,192,0,86,27,0,247,214,370,98,1116,390,582,699,1855,394,1414,401,375,102,386,0,93,0,0,0,14,122,0,0,0,6,0,463,118,77
89.5,140.91,NaN,1.47,22110,60411,0.365992948,477,4410,0.145276057,48,1183,20,3828,30779,30853,30356,787,0.025925682,194764,6.415996838,164.635672,1110,6,0,190,5,677,0,412,546,0,422,133,103,9,0,311,188,279,93,1042,408,567,813,1285,267,1507,289,502,162,518,78,86,0,55,0,133,40,0,0,0,0,62,216,87,0
90,141.41,14.07,1.44,22881,62068,0.368644068,400,4844,0.15694152,80,1063,18,3780,32325,31552,30865,964,0.031232788,182850,5.924185971,172.0131703,1181,34,0,247,89,797,0,429,621,20,288,71,0,26,28,25,409,272,82,1055,464,586,553,1230,264,1217,341,506,155,473,0,79,0,0,0,47,63,0,43,85,20,86,381,240,40
90.5,141.91,NaN,1.75,22447,61435,0.365378042,439,4791,0.156145097,85,1195,32,3768,32376,31642,30683,1084,0.03532901,179825,5.860737216,150.4811715,1330,88,0,344,56,822,9,476,593,186,258,92,83,0,116,0,343,257,70,960,438,701,700,605,352,666,430,370,267,387,94,57,0,0,0,116,121,0,0,0,0,0,359,236,92
91,142.41,NaN,1.5,22355,61610,0.36284694,424,4546,0.150519833,33,1205,45,3728,32041,31631,30202,1237,0.040957552,184591,6.111880008,153.1875519,1113,66,0,302,97,957,0,449,585,19,168,85,15,32,0,262,220,410,123,1143,406,751,739,2013,298,1238,365,451,99,517,0,126,0,0,17,54,90,0,89,57,46,0,619,125,0
91.5,142.91,NaN,1.47,22931,59683,0.38421326,423,4613,0.150736856,119,1215,124,3813,31992,32623,30603,1044,0.034114303,188110,6.146782995,154.8230453,1116,61,0,346,78,662,57,587,590,0,359,52,0,28,58,220,347,312,128,1122,528,530,563,1740,359,1180,540,399,137,401,40,73,0,0,41,96,258,0,85,0,5,25,270,97,22
92,143.41,14.32,1.59,22190,61541,0.360572626,401,4685,0.151745806,103,1241,121,3598,31734,32532,30874,1353,0.043823282,194006,6.283798666,156.3303787,1338,188,0,289,43,685,12,389,562,18,228,101,45,32,54,50,484,347,117,1104,494,677,856,1489,579,1116,518,220,152,406,96,120,0,0,0,101,87,0,44,97,0,28,230,80,124
92.5,143.91,NaN,1.78,22144,62255,0.355698337,437,4476,0.148842777,87,1289,50,3727,30967,32350,30072,1243,0.041334131,202699,6.740456238,157.2529092,1335,82,0,175,17,614,0,421,457,0,313,33,115,0,63,151,296,244,63,993,472,676,830,1067,388,1024,549,371,306,306,92,0,0,44,0,38,58,0,71,0,0,0,191,68,32
93,144.41,NaN,1.93,22539,59952,0.375950761,368,4344,0.148762029,47,1221,50,3632,30432,30951,29201,453,0.015513167,207882,7.119002774,170.2555283,1313,94,0,273,0,851,0,323,477,17,198,50,22,0,50,0,385,236,51,999,605,515,626,2066,291,1245,409,465,162,491,0,66,15,0,0,54,47,0,52,44,0,0,394,126,9
93.5,144.91,NaN,1.64,22702,59361,0.382439649,366,4208,0.145078435,94,1287,69,3769,29550,30119,29005,1390,0.047922772,212358,7.32142734,165.002331,1395,69,0,200,13,527,0,410,572,38,180,6,62,14,90,47,294,189,67,990,466,649,839,1273,511,764,561,304,231,383,200,84,0,0,6,242,174,47,47,28,0,50,313,209,164
94,145.41,14.38,1.7,24929,58096,0.42910011,354,3983,0.140444288,109,1345,86,3810,28610,28929,28360,380,0.013399154,224404,7.912693935,166.8431227,1436,25,0,240,76,855,0,355,410,59,12,119,64,15,58,0,316,355,123,997,680,614,338,1825,440,1342,426,431,225,458,45,0,0,0,59,177,145,0,123,70,13,0,787,199,95
94.5,145.91,NaN,1.92,23394,59476,0.393335127,416,3537,0.128796155,65,1421,55,3632,25962,28307,27462,819,0.029823028,240214,8.747141505,169.0457424,1463,126,0,250,7,606,0,287,320,39,98,58,52,0,46,24,392,299,142,971,430,751,640,2416,632,1001,514,318,49,414,0,126,0,0,0,77,140,0,0,72,0,0,490,105,0
95,146.41,NaN,1.92,23567,60129,0.391940661,298,3348,0.129958854,47,1413,59,3611,24938,26996,25762,865,0.033576586,255037,9.899736045,180.4932767,1476,82,0,198,0,678,58,239,355,77,7,82,107,0,41,0,392,297,109,922,539,646,763,1731,580,1580,594,415,138,429,64,71,0,0,17,130,202,0,67,114,0,11,572,233,90
95.5,146.91,NaN,1.81,22624,59240,0.381904119,352,3753,0.139792156,35,1393,85,3603,25945,28839,26847,753,0.028047827,250858,9.343986293,180.0847093,1293,35,0,177,76,599,0,316,330,91,0,56,90,0,34,128,263,313,122,1162,434,651,941,2305,453,1813,512,488,120,443,50,71,0,0,0,187,178,0,26,113,0,0,561,214,35
96,147.41,13.81,2.86,23488,61570,0.381484489,349,3781,0.138138906,61,1329,51,3738,26313,29168,27371,648,0.023674692,244283,8.924884001,183.8096313,1520,74,0,105,0,837,68,407,355,22,0,51,83,0,35,0,444,170,97,958,387,682,579,2328,530,1182,573,311,80,356,16,90,0,111,0,66,0,0,0,0,0,33,635,259,96
96.5,147.91,NaN,2.31,23391,59835,0.390925044,369,3706,0.136687198,72,1376,46,3774,25547,28760,27113,117,0.004315273,250801,9.250212075,182.2681686,1549,0,0,286,0,439,0,239,430,89,102,68,0,0,0,0,362,376,99,1070,408,619,571,2051,548,1206,420,441,162,381,168,0,0,0,0,153,218,0,5,15,0,38,407,230,154
97,148.41,NaN,2.01,22873,58867,0.388553859,409,3886,0.141845525,70,1305,15,3551,27039,26814,27396,703,0.02566068,245821,8.972879252,188.3685824,1570,147,0,386,80,542,0,360,399,0,124,30,88,63,0,0,396,231,97,962,459,671,443,1718,687,1492,520,233,89,434,62,123,0,0,87,154,278,0,126,121,75,63,474,254,150
97.5,148.91,NaN,2.21,22107,60490,0.365465366,406,4141,0.146984702,86,1178,43,3557,28427,26797,28173,1211,0.042984418,237251,8.421218898,201.401528,1522,88,7,376,25,716,0,369,410,93,0,67,112,0,63,0,346,156,74,977,411,650,821,1828,540,813,656,274,132,273,112,56,0,0,0,114,245,0,0,100,0,66,565,228,13
98,149.41,13.97,1.93,22869,59234,0.386078941,365,4479,0.152155451,29,1129,67,3550,30903,27786,29437,783,0.026599178,223985,7.608961511,198.3923826,1335,101,0,223,68,699,0,327,491,89,186,0,104,0,59,0,453,206,116,1048,410,694,540,2117,497,1389,480,320,33,501,0,110,0,0,0,53,134,0,0,45,0,0,367,179,69
98.5,149.91,NaN,1.76,22506,58133,0.387146715,425,4968,0.159108378,72,1095,12,3550,32577,29052,31224,1124,0.03599795,215794,6.911158084,197.0721461,1494,48,0,167,55,807,154,408,487,96,175,74,28,0,0,0,503,172,74,966,367,670,585,1304,529,988,441,350,176,346,152,72,0,63,0,141,72,0,31,10,0,34,582,216,120
99,150.41,NaN,1.53,23020,62585,0.367819765,454,5097,0.158178941,62,1085,72,3642,32572,31323,32223,1227,0.038078391,206534,6.409521149,190.3539171,1339,9,0,252,19,690,0,426,526,57,237,5,152,21,80,145,384,319,84,1110,462,635,496,702,514,1130,415,431,361,439,189,11,0,12,0,189,63,0,40,36,0,5,363,131,0
99.5,150.91,NaN,1.9,23408,62862,0.372371226,400,4732,0.149406416,45,1158,101,3620,30993,32680,31672,1304,0.041172013,208717,6.589953271,180.2392055,1332,57,0,164,80,683,0,369,413,12,216,76,117,0,0,87,368,283,88,1107,531,607,473,1622,408,1354,499,454,107,446,95,136,0,34,0,116,123,0,0,24,0,0,422,180,0
100,151.41,15,1.55,24484,58904,0.415659378,364,4235,0.146291754,69,1084,72,3680,27605,30850,28949,502,0.017340841,218334,7.542022177,201.4151292,1166,112,0,342,85,574,0,376,497,113,216,68,101,0,94,6,479,320,44,1066,497,531,318,2021,506,1535,345,324,59,452,0,94,0,0,20,67,128,18,36,122,65,0,348,249,20
100.5,151.91,NaN,1.92,23031,58399,0.394373191,363,4297,0.150029678,57,1019,59,3602,27464,32831,28641,1397,0.04877623,226837,7.920009776,222.6074583,1418,123,0,197,6,814,50,394,463,109,30,40,29,54,0,124,286,352,68,1007,350,585,607,2097,573,1337,508,256,130,379,23,62,0,0,0,105,101,0,31,0,0,28,714,208,97
101,152.41,NaN,1.86,23091,59168,0.390261628,388,4422,0.150091643,109,972,86,3522,28594,33967,29462,1421,0.04823162,220722,7.491752087,227.0802469,1391,77,0,236,35,557,0,361,471,34,219,114,154,58,35,181,317,354,102,1058,451,728,741,2493,487,1651,606,271,58,254,92,28,0,0,0,147,152,0,32,48,0,0,451,207,35
101.5,152.91,NaN,2.14,23760,61020,0.389380531,417,3916,0.137057259,69,1041,67,3559,26814,31367,28572,1423,0.049804004,233809,8.183151337,224.6003842,1402,0,0,365,42,758,36,455,523,40,118,71,55,66,26,126,327,311,102,1148,529,694,641,1912,511,1575,445,348,99,411,62,55,0,0,0,167,205,0,16,0,0,47,610,298,30
102,153.41,16.5,1.92,22576,59003,0.382624612,390,3933,0.14158177,59,1139,67,3603,26112,31492,27779,767,0.027610785,247034,8.892832715,216.8867428,1393,0,0,218,47,702,11,421,538,47,70,72,121,0,90,98,248,343,125,1096,391,712,941,2853,472,1608,488,378,134,361,122,0,0,0,0,205,202,0,52,68,0,54,648,313,39
102.5,153.91,NaN,1.92,24095,60024,0.401422764,364,3893,0.140414788,62,1072,63,3385,26532,30917,27725,909,0.032786294,242165,8.734535618,225.9001866,1453,66,0,149,56,681,0,420,488,110,9,81,138,51,80,37,337,435,83,1218,426,708,495,1998,618,1812,443,384,147,366,27,14,0,0,0,155,170,0,0,25,0,0,645,243,0
103,154.41,NaN,2.51,24452,58644,0.416956551,367,3718,0.13079575,36,993,47,3365,26533,31909,28426,264,0.009287272,243789,8.576268205,245.5075529,1486,102,0,242,0,421,0,276,502,0,143,115,124,7,0,54,374,240,68,861,369,773,266,2017,623,1878,637,261,133,432,123,130,0,0,0,161,197,0,0,0,0,40,282,269,44
103.5,154.91,NaN,2.22,23460,61054,0.384250008,374,3755,0.134520312,51,1051,42,3439,26031,31062,27914,376,0.013469943,242370,8.682739844,230.6089439,1524,53,0,226,0,674,0,359,479,34,67,74,127,19,71,101,243,355,129,1025,354,738,431,2209,619,1395,569,190,0,217,0,76,0,0,0,63,51,0,44,62,0,0,547,219,110
104,155.41,17.78,2.22,22712,59205,0.383616249,385,3780,0.136600173,88,1070,43,3477,26723,31565,27672,1122,0.040546401,238852,8.631540908,223.2261682,1402,32,0,216,46,694,32,352,465,0,0,51,119,0,9,52,273,353,91,1097,436,538,631,2162,560,1471,563,374,113,409,56,45,0,0,0,116,85,0,0,0,0,0,637,178,103
104.5,155.91,NaN,2.1,22477,58862,0.381859264,400,3984,0.139995783,18,1059,50,3622,28258,32002,28458,1395,0.049019608,235033,8.258943004,221.9386213,1403,164,0,235,8,614,0,361,549,0,39,0,59,0,0,0,336,303,47,988,480,655,676,1930,686,1116,640,143,175,353,38,39,0,0,22,151,128,0,14,70,0,0,500,286,75
105,156.41,NaN,2.06,22413,60047,0.373257615,402,4469,0.153068914,70,1017,59,3430,29618,32832,29196,1055,0.036135087,237799,8.144917112,233.8239921,1506,119,0,395,38,755,45,368,514,58,0,92,98,0,111,94,377,325,147,1073,468,730,611,2147,720,1229,558,233,106,387,75,100,0,0,0,181,242,0,0,28,0,13,683,321,0
105.5,156.91,NaN,2.11,22728,61355,0.370434357,403,4451,0.148808131,58,1136,41,3480,29676,34066,29911,1368,0.045735683,233924,7.820667982,205.9190141,1600,76,0,265,58,683,95,343,546,51,77,68,13,0,0,216,314,232,39,912,552,636,673,1448,510,1003,472,392,132,465,115,114,0,0,0,158,29,0,57,0,0,0,532,215,128
106,157.41,18.87,1.88,22562,60484,0.373024271,322,4062,0.138417502,31,1104,37,3482,28753,34356,29346,663,0.022592517,233736,7.964833367,211.7173913,1450,0,0,330,24,707,78,394,496,0,0,113,89,26,39,206,216,375,102,1157,518,668,858,2071,420,1468,466,456,134,396,8,5,0,0,19,159,117,0,92,0,0,0,529,167,66
106.5,157.91,NaN,2.07,20894,57479,0.363506672,398,3915,0.141274538,46,940,65,3622,27423,33162,27712,1123,0.040523961,216659,7.818237587,230.4882979,1472,60,0,434,36,667,0,357,507,25,0,23,87,14,29,0,392,355,100,955,497,624,941,1185,403,929,447,364,161,412,169,60,0,0,47,104,238,0,53,98,38,91,668,132,84
107,158.41,NaN,2.22,21492,56078,0.383251899,361,3811,0.136913957,43,1006,44,3867,26212,31536,27835,951,0.034165619,220615,7.925812826,219.2992048,1452,23,0,277,0,701,58,338,464,27,125,56,16,42,71,255,215,241,29,963,383,673,548,1349,439,1023,514,414,271,254,192,0,0,0,0,169,107,0,0,0,0,0,497,135,19
107.5,158.91,NaN,2.17,21127,58236,0.362782471,393,3757,0.135100147,28,1098,36,3668,26074,31881,27809,1087,0.039088065,229769,8.262397066,209.2613843,1261,52,0,329,38,565,38,402,449,0,126,0,90,25,21,403,0,397,119,1086,405,723,826,2001,582,1661,587,294,113,335,114,86,0,0,0,122,154,0,11,0,0,0,442,152,112
108,159.41,19.65,1.95,21303,60291,0.353336319,370,3719,0.133974567,48,1015,39,3443,27156,32890,27759,833,0.030008286,234396,8.44396412,230.9320197,1394,9,0,345,20,438,14,342,432,61,134,106,75,13,33,0,379,298,79,877,338,728,848,2070,479,1233,627,382,214,349,39,24,0,0,0,108,237,50,48,22,5,56,337,213,101
108.5,159.91,NaN,1.91,20663,59060,0.349864545,391,3774,0.138485249,63,1067,74,3503,25930,32530,27252,671,0.024622046,236575,8.681014237,221.7197751,1316,90,0,188,0,414,0,263,450,10,204,146,73,21,46,0,486,272,147,1001,425,822,910,2254,534,1175,543,350,121,440,0,74,0,0,0,117,141,67,13,43,0,65,240,217,0
109,160.41,NaN,2.02,21219,57070,0.371806553,338,3646,0.132842673,84,1192,35,3567,25580,31526,27446,1725,0.062850689,248801,9.06510967,208.7256711,1368,78,0,220,0,484,0,358,495,0,178,89,102,0,0,52,246,402,115,826,376,663,833,2222,679,1536,387,262,0,526,0,138,0,0,0,94,137,0,45,97,32,0,330,220,57
109.5,160.91,NaN,2.06,21241,56811,0.37388886,375,3461,0.132265831,55,1152,80,3406,24600,31652,26167,1374,0.052508885,246088,9.40451714,213.6180556,1474,90,0,294,10,577,0,326,526,63,0,91,24,43,37,30,375,339,164,1023,439,771,853,1710,602,1351,644,369,215,325,47,40,0,0,0,73,239,0,0,87,0,0,637,273,0
110,161.41,19.83,2.41,22560,56391,0.40006384,344,3359,0.13035548,20,1126,32,3648,23720,28982,25768,681,0.026428128,251528,9.761254269,223.3818828,1399,47,0,200,0,481,0,246,401,41,154,92,89,0,25,89,239,216,79,1034,418,611,584,2286,476,1752,452,448,100,386,27,37,0,0,0,63,124,0,0,145,0,0,452,165,12
110.5,161.91,NaN,2.49,22769,58550,0.388881298,342,3302,0.128257914,58,1145,63,3518,23151,29196,25745,1052,0.040862303,256025,9.944649446,223.6026201,1418,0,0,300,0,623,0,378,439,115,131,36,51,21,42,292,79,405,132,872,461,643,741,2628,500,2081,547,365,113,262,40,0,0,0,0,148,185,0,112,0,0,74,591,223,112
111,162.41,NaN,3.29,22494,58909,0.381843182,328,3191,0.125748739,58,1122,8,3683,23703,28326,25376,1024,0.04035309,257650,10.15329445,229.6345811,1501,0,17,290,0,648,28,357,366,8,42,55,42,0,0,0,334,322,76,995,326,624,618,2517,680,1606,674,254,117,187,257,26,0,0,0,234,172,0,0,43,0,0,563,276,0
111.5,162.91,NaN,2.4,22745,57594,0.39491961,333,3295,0.128304973,36,984,24,3510,23200,26949,25681,888,0.034578093,252964,9.850239477,257.0772358,1423,55,0,289,0,625,45,380,381,77,14,37,72,0,49,0,335,196,96,972,315,613,664,3042,638,1192,518,212,0,483,59,148,0,0,0,130,178,0,23,0,0,12,599,287,112
112,163.41,20.85,1.96,22331,59290,0.376640243,368,3529,0.130346458,27,1001,33,3488,24366,28752,27074,726,0.026815395,239345,8.840400384,239.1058941,1653,0,0,162,0,383,0,304,504,62,259,0,98,21,8,22,371,248,90,1062,417,648,737,1855,529,1072,392,308,212,339,215,0,0,0,0,205,137,64,0,51,0,101,205,222,123
112.5,163.91,NaN,1.65,22094,60432,0.365601006,328,3841,0.136244325,77,1056,18,3626,26008,28947,28192,911,0.032314132,232360,8.242054484,220.0378788,1452,109,0,289,0,473,0,282,530,0,158,42,10,0,8,100,311,332,161,1075,434,754,740,1724,646,1471,603,309,200,343,9,40,0,0,0,194,190,137,115,112,0,81,195,182,92
113,164.41,NaN,2.28,21856,60432,0.361662695,392,4108,0.142209298,53,1077,9,3559,27250,29258,28887,1097,0.03797556,223410,7.733928757,207.4373259,1340,71,0,224,0,714,87,473,467,37,159,11,127,0,9,110,302,251,74,1097,345,755,739,1509,512,1063,582,418,311,401,100,15,0,0,29,107,149,0,0,0,0,0,606,287,58
113.5,164.91,NaN,1.7,21337,60299,0.353853298,426,4326,0.140944189,69,1037,36,3571,28712,28600,30693,1201,0.039129443,207383,6.756687193,199.9836066,1401,57,0,222,25,714,24,392,437,99,237,0,97,0,79,0,372,215,105,922,438,776,674,1289,470,1213,511,378,184,388,106,69,0,0,0,125,90,0,14,0,0,0,345,291,4
114,165.41,22.09,1.62,22375,59573,0.375589613,425,4517,0.143533524,46,972,0,3459,30656,29525,31470,984,0.031267874,195320,6.206545917,200.9465021,1465,116,0,278,31,579,105,425,518,39,416,99,0,46,33,0,424,237,103,1059,352,750,430,787,413,1153,438,414,232,594,5,87,0,0,5,119,124,84,146,0,0,50,318,123,210
114.5,165.91,NaN,1.39,20682,60650,0.341005771,414,4859,0.143689378,64,916,42,3598,31644,29509,33816,1127,0.033327419,185754,5.493080199,202.7882096,1153,91,0,198,51,585,53,518,512,30,398,125,0,36,34,273,116,261,88,1047,475,785,857,1295,316,1081,469,417,185,397,38,34,0,0,0,73,193,83,86,0,0,0,252,127,69
115,166.41,NaN,1.74,22208,60657,0.366124273,464,4961,0.146079326,52,853,60,3574,32732,29853,33961,843,0.024822591,174111,5.126792497,204.116061,1233,106,0,352,34,900,7,393,667,109,232,0,91,17,99,140,338,350,103,1127,488,687,657,1029,464,973,530,327,193,431,173,140,0,0,0,69,83,0,0,0,7,84,505,268,120
115.5,166.91,NaN,1.58,21787,60407,0.360670121,548,4904,0.14485305,48,966,52,3748,32794,32026,33855,768,0.02268498,169701,5.012583075,175.673913,1091,55,0,453,26,567,0,521,601,58,546,5,30,30,74,212,372,258,116,1201,469,629,720,1329,388,1160,264,332,54,503,142,133,0,0,0,99,219,258,75,22,40,0,7,99,0
116,167.41,22.75,1.5,21702,60491,0.358764114,494,5021,0.145149167,43,935,27,3687,33394,31622,34592,722,0.020871878,163733,4.733262026,175.115508,1049,124,0,355,58,781,0,500,436,0,471,110,5,0,49,118,266,247,51,1013,493,540,655,1636,215,1093,261,396,85,558,18,152,0,0,0,74,120,0,23,47,0,0,224,160,40
116.5,167.91,NaN,1.46,23076,61066,0.377886221,519,4944,0.140770479,61,957,42,3741,34007,30829,35121,826,0.023518693,163473,4.654565644,170.8181818,1147,105,52,548,30,449,0,403,623,99,564,25,33,0,12,158,419,220,105,1178,560,600,355,1122,328,637,532,307,244,326,132,32,0,0,10,100,246,282,109,154,13,0,51,0,42
117,168.41,NaN,1.54,22137,61620,0.359250243,467,4993,0.142352103,50,982,46,3714,34190,32489,35075,1042,0.029707769,159440,4.545687812,162.3625255,1067,0,0,601,42,497,0,421,655,183,596,52,68,0,34,91,432,218,43,1096,460,690,620,857,82,945,444,629,350,469,123,7,0,0,18,37,289,363,78,217,128,15,0,142,0
117.5,168.91,NaN,1.33,23956,59996,0.399293286,481,4757,0.134083094,59,947,46,3707,34660,33201,35478,1172,0.033034557,163322,4.603472575,172.4625132,1109,129,0,413,70,681,0,497,671,38,411,31,86,12,111,0,214,435,105,1215,523,615,387,1245,305,1138,312,346,152,479,52,58,0,0,43,91,153,20,35,39,0,30,292,144,25
118,169.41,24.14,1.31,22215,59562,0.372972701,458,4742,0.132580311,39,909,42,3554,33237,34861,35767,959,0.026812425,162459,4.54214779,178.7227723,1152,69,0,368,59,761,55,558,658,37,381,27,75,24,19,215,183,316,88,1119,539,581,672,876,113,913,340,576,390,493,23,36,0,0,51,66,122,0,72,43,23,39,346,191,129
118.5,169.91,NaN,1.4,23595,62788,0.375788367,452,4502,0.132810195,50,990,18,3675,31932,35795,33898,763,0.022508703,164490,4.852498672,166.1515152,1060,160,0,417,80,612,89,538,628,102,400,62,32,8,0,200,245,369,107,1142,512,566,403,1027,335,1016,334,379,249,369,0,34,9,0,0,0,128,0,0,0,16,21,351,178,0
119,170.41,NaN,1.51,21645,62899,0.344123118,436,4500,0.133491546,45,1005,57,3781,32046,35975,33710,843,0.025007416,167540,4.970038564,166.7064677,1125,0,0,294,41,823,0,478,715,181,366,99,81,0,22,216,316,398,151,1219,468,713,782,971,365,782,487,385,271,389,271,61,0,0,0,106,199,0,103,103,49,0,458,56,15
119.5,170.91,NaN,1.64,22480,59349,0.378776391,428,4441,0.134567602,20,1034,14,3692,31678,36637,33002,411,0.012453791,170273,5.159475183,164.6740812,954,0,0,391,42,727,48,496,789,125,384,17,19,0,38,43,459,306,32,1223,459,655,468,1562,162,1094,398,493,188,451,142,61,0,0,0,166,267,0,90,0,0,81,460,216,130
120,171.41,25.61,1.46,22715,59918,0.379101439,364,4233,0.12765765,37,1109,80,3655,31312,36406,33159,1195,0.036038481,174889,5.27425435,157.6997295,1164,166,34,313,49,692,0,415,715,26,229,0,46,12,65,219,215,414,89,1218,458,615,474,1115,498,1001,446,353,301,358,43,32,0,0,0,114,210,0,112,120,0,74,275,116,0
120.5,171.91,NaN,1.45,22513,58620,0.384049812,351,4125,0.126417407,22,1144,38,3779,30473,34523,32630,569,0.017437941,180939,5.545173154,158.1634615,1089,68,0,289,15,530,0,374,626,85,242,81,79,0,60,100,331,353,52,1043,431,658,591,1916,293,1172,501,452,206,449,133,94,0,0,9,124,81,65,87,79,22,45,286,82,0
121,172.41,NaN,1.43,21758,59788,0.363919181,461,3999,0.125869504,39,1152,49,3738,29654,34844,31771,1074,0.033804413,186227,5.861540398,161.6553819,1376,54,0,382,19,614,0,346,647,0,270,96,119,0,31,302,160,452,74,1111,452,625,864,831,362,852,390,487,310,476,93,60,0,0,0,118,172,0,8,136,10,56,210,99,27
121.5,172.91,NaN,2.09,22761,60464,0.376438873,393,3913,0.120144923,59,1212,55,3532,29702,35083,32569,499,0.015321318,195189,5.99309159,161.0470297,1353,162,0,262,0,822,0,400,636,48,211,57,117,44,11,320,165,374,0,939,416,634,623,1715,457,1229,630,338,154,466,138,118,0,7,0,153,131,0,0,10,0,0,445,205,0
122,173.41,26.58,1.62,23211,59736,0.388559663,394,4036,0.128098518,30,1188,64,3598,30264,35419,31507,662,0.021011204,198415,6.297489447,167.0159933,1351,48,20,394,5,648,0,444,574,0,152,85,80,0,16,0,421,432,46,1084,501,621,329,1420,342,903,514,426,337,413,55,0,0,0,0,74,100,0,0,37,0,0,348,85,100
122.5,173.91,NaN,1.88,23478,58934,0.398377846,429,3901,0.125915884,62,1131,73,3684,29235,34752,30981,846,0.027307059,198472,6.406248991,175.4836428,1229,38,0,180,38,444,51,468,708,110,354,86,65,0,38,172,330,201,99,1032,435,626,642,1771,350,1218,588,397,248,315,206,28,0,0,13,234,130,177,37,0,0,45,183,186,48
123,174.41,NaN,1.55,23178,59407,0.390156042,323,3877,0.127823019,46,1081,65,3629,29293,35526,30331,446,0.014704428,193770,6.388513402,179.2506938,1171,72,0,306,0,849,0,498,610,60,80,23,0,12,56,202,178,406,97,1094,508,721,486,2076,345,1492,286,371,23,431,0,80,0,0,0,14,141,0,8,0,74,0,659,241,82
123.5,174.91,NaN,1.27,23107,59353,0.389314778,465,4344,0.135885886,41,1036,80,3674,30226,36396,31968,746,0.023335836,183100,5.727602603,176.7374517,1116,25,0,368,56,658,0,415,670,25,269,131,10,18,129,24,248,478,56,1182,359,652,576,931,279,1329,318,526,305,372,59,0,0,0,15,127,167,0,0,68,16,0,415,353,105
124,175.41,26.83,1.59,21884,60248,0.363231975,362,4516,0.13911222,73,1005,74,3929,30271,37347,32463,1111,0.034223578,173107,5.332440009,172.2457711,1205,4,0,326,89,894,63,457,659,62,180,0,45,9,30,327,297,473,156,1206,436,756,790,1478,277,1297,335,491,237,466,91,0,0,0,36,92,137,0,78,0,0,0,609,28,93
124.5,175.91,NaN,1.39,21139,60709,0.348202079,383,4370,0.136192227,90,926,12,3846,30839,37093,32087,966,0.03010565,165474,5.157041793,178.6976242,991,184,0,374,83,750,0,445,661,43,329,87,97,43,0,63,359,267,70,1077,399,511,867,1293,326,884,496,293,247,420,33,27,0,0,20,4,114,0,123,18,0,0,381,118,60
125,176.41,NaN,1.37,23604,59071,0.399586938,399,4331,0.133409315,73,913,52,3734,31308,37462,32464,1143,0.035208231,157939,4.865050517,172.9890471,934,103,14,320,115,839,0,393,709,112,300,58,158,0,0,59,311,500,71,1178,459,683,357,1532,324,1080,553,355,314,309,21,12,0,0,38,0,98,0,59,183,34,57,398,61,27
125.5,176.91,NaN,1.34,23251,59502,0.390759974,413,4232,0.130351753,15,839,0,3782,30594,37160,32466,754,0.023224296,150827,4.645690877,179.7699642,999,48,0,460,39,354,0,564,745,0,667,0,53,13,0,452,63,371,76,1200,395,593,548,1009,132,1335,234,477,281,434,0,10,14,0,22,0,136,525,6,0,0,0,0,64,0
126,177.41,27.64,1.18,23859,58444,0.408236945,349,4398,0.137013614,34,868,31,3773,30440,37146,32099,1345,0.041901617,146150,4.553101343,168.375576,939,84,39,352,79,687,0,470,730,54,526,142,107,0,83,497,67,383,77,1357,441,587,571,846,111,1317,437,606,380,386,48,24,34,0,26,76,138,194,74,137,26,26,46,52,0
126.5,177.91,NaN,1.47,22843,62484,0.365581589,423,4621,0.142932261,18,815,53,3659,30935,37806,32330,1135,0.035106712,143959,4.452799258,176.6368098,928,57,0,272,15,859,0,401,715,97,495,85,99,0,97,294,205,393,113,1189,262,693,788,960,146,1087,409,520,189,415,136,60,0,5,0,114,53,21,48,130,0,0,223,52,0
127,178.41,NaN,1.32,23342,61232,0.381205905,434,4635,0.139924528,26,804,71,3795,31997,38541,33125,703,0.021222642,139762,4.219230189,173.8333333,1070,145,27,361,84,678,0,543,805,62,537,15,96,30,84,255,298,471,73,1175,592,740,431,939,242,647,411,403,241,430,0,90,70,0,21,0,70,218,59,63,61,0,125,73,28
