Position,Relative_Position,Position,Mag_Sus,MSE,Incoherence,Coherence,Inc/Coh,Al,Si,Si/Ti,P,S,Cl,Ar,K,Ca,Ti,Mn,Mn/Ti,Fe,Fe/Ti,Fe/S,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Pd,Cd,In,Sn,Sb,Cs,Ba,La,Pr,Nd,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,W,Re,Os,Au,Hg,Pb,Bi,Po,At,Ra,Ac,Th,U
26.5,533.41,533.43,17.14,1.45,22216,58046,0.382730938,328,3917,8.37426602,0,602,42,3837,32339,32194,32802,1186,0.036156332,177957,5.425187489,295.6096346,1073,146,18,307,86,936,0,487,704,0,294,101,60,15,0,321,198,442,66,1121,355,571,341,1409,347,1504,444,348,227,272,0,22,0,0,0,65,107,0,20,64,0,65,475,163,0
27,533.91,,,2.62,21531,56839,0.378806805,326,3950,8.277974684,65,607,56,3809,31948,33615,32698,1007,0.030796991,178729,5.46605297,294.446458,1031,62,6,231,6,885,65,478,650,177,328,87,66,20,37,553,0,299,71,1301,338,597,431,1354,233,1425,488,510,363,268,0,0,0,29,0,12,21,0,0,0,0,0,465,106,49
27.5,534.41,,,1.46,20786,57799,0.359625599,341,3990,8.194987469,58,548,60,3688,32220,33966,32698,2050,0.062694966,181609,5.554131751,331.4032847,1093,93,0,407,22,964,57,553,727,102,209,99,46,0,112,408,112,442,142,1386,361,708,797,1593,386,1524,394,358,121,272,0,37,0,0,0,0,101,0,0,0,0,0,502,277,53
28,534.91,,,1.6,21369,57209,0.373525145,367,3788,8.735480465,77,643,48,3756,32265,34185,33090,1560,0.047144152,183123,5.534088849,284.7947123,1078,153,35,314,31,728,30,261,538,62,430,69,0,18,55,299,183,460,126,1296,403,675,661,1591,301,1513,481,456,335,292,0,23,0,0,0,58,159,112,32,71,0,0,118,89,83
28.5,535.41,535.43,16.37,1.47,21519,58234,0.369526394,373,3910,8.496930946,40,546,77,3731,31878,33250,33223,1122,0.033771785,177876,5.354001746,325.7802198,1279,147,0,421,90,1041,7,382,612,48,252,0,99,22,100,461,72,412,180,1182,242,796,678,1393,368,1490,323,413,164,481,0,114,0,0,0,158,71,0,22,159,0,0,460,133,29
29,535.91,,,1.55,20957,56263,0.372482804,356,3815,8.559895151,35,610,71,3816,32118,34425,32656,1470,0.045014699,177828,5.445492406,291.5213115,1090,58,0,357,69,894,82,453,763,62,396,36,0,11,74,165,260,406,66,1204,516,566,705,948,245,1470,460,431,296,263,28,5,0,0,0,110,187,0,77,0,0,0,290,90,119
29.5,536.41,,,1.72,20134,56815,0.354378245,369,4070,7.938820639,24,677,55,3722,33053,35562,32311,1313,0.040636316,178086,5.511621429,263.0516987,1051,93,0,441,57,944,11,453,668,27,321,80,142,28,40,336,116,337,114,1146,363,619,942,1613,347,1503,468,315,148,362,88,6,0,0,15,74,155,0,75,42,0,0,415,0,96
30,536.91,,,1.52,21465,56047,0.38298214,408,4175,7.736287425,34,606,82,3804,33266,36137,32299,791,0.024489922,172980,5.355583764,285.4455446,1145,46,0,243,63,915,39,574,593,45,426,24,79,16,0,462,0,421,97,1336,245,840,713,1126,107,2110,192,579,181,433,0,9,28,94,0,0,0,0,0,0,22,0,367,92,128
30.5,537.41,537.43,15.97,1.46,21222,58047,0.365600289,348,4064,7.886811024,35,579,50,3895,32869,35455,32052,1069,0.033352053,172371,5.377854736,297.7046632,1258,17,0,410,34,792,0,567,794,92,391,174,99,9,80,361,135,346,140,1227,403,640,671,698,263,1519,344,476,336,349,0,0,0,0,31,54,138,0,87,0,21,53,377,193,171
31,537.91,,,1.5,22599,57790,0.391053816,411,4301,7.418507324,33,682,62,3875,32700,35227,31907,1757,0.055066286,167746,5.257341649,245.9618768,885,62,0,398,26,939,0,406,724,73,362,0,66,5,0,472,132,489,140,1167,488,428,611,1440,259,1956,235,443,108,357,0,44,27,0,0,6,80,0,17,109,19,0,478,69,19
31.5,538.41,,,1.52,21597,59417,0.363481832,331,4391,7.268731496,27,580,67,3716,32968,36303,31917,1302,0.040793308,157950,4.948773381,272.3275862,949,73,0,406,71,1001,15,542,699,73,322,0,48,57,34,732,0,584,161,1375,325,757,775,1250,141,1870,104,598,258,484,0,0,163,0,50,0,40,0,71,0,31,0,522,104,112
32,538.91,,,1.51,21939,57907,0.378866113,442,4555,7.184193194,96,623,103,3908,34000,35685,32724,1375,0.042018091,152112,4.6483315,244.1605136,896,111,0,410,94,1028,0,484,701,100,333,81,99,78,66,329,139,497,148,1413,328,748,728,1208,174,1811,185,521,111,433,0,49,81,0,15,0,47,0,85,0,116,0,381,60,55
32.5,539.41,539.43,16.03,1.44,21558,57646,0.373972175,351,4317,7.70558258,58,558,41,4070,33919,34093,33265,1356,0.040763565,155323,4.669261987,278.3566308,1034,131,14,374,150,1034,0,546,840,157,339,26,0,54,6,386,67,459,134,1281,274,687,747,933,186,1726,291,483,250,269,0,0,102,0,37,48,0,0,31,10,60,7,447,136,0
33,539.91,,,1.39,22598,58761,0.384574803,384,4462,7.525997311,76,585,59,3888,33535,33632,33581,956,0.028468479,151374,4.507727584,258.7589744,925,223,0,317,27,618,107,636,666,34,645,62,12,22,57,586,57,504,179,1350,441,695,514,1463,386,1517,501,317,109,304,0,143,0,62,0,108,0,176,61,0,0,0,18,7,44
33.5,540.41,,,1.17,21107,59730,0.353373514,377,4379,7.601735556,23,549,58,3880,33646,34216,33288,1374,0.041276136,148598,4.464011055,270.6703097,1028,39,0,394,27,873,0,557,790,128,399,22,18,0,96,390,179,349,109,1319,388,654,545,984,217,1294,201,460,108,383,0,32,0,26,16,38,62,0,65,82,0,38,393,216,43
34,540.91,,,1.3,21053,59625,0.353090147,408,4392,7.97654827,111,546,101,3930,34415,34969,35033,1089,0.031084977,146300,4.17606257,267.9487179,821,81,9,190,84,912,0,469,780,168,506,49,116,56,35,350,223,506,98,1363,377,634,637,1694,178,1459,360,345,163,287,68,64,0,172,0,79,0,0,0,135,29,0,389,120,51
34.5,541.41,541.43,15.85,1.21,21210,56117,0.377960333,393,4240,8.032075472,15,527,72,3893,34465,36577,34056,1268,0.037232793,146039,4.288201785,277.113852,873,44,6,191,82,972,103,585,667,64,479,36,0,15,50,686,0,400,138,1328,356,653,670,698,197,1599,427,539,334,317,139,0,0,171,29,95,0,0,183,11,0,0,446,28,12
35,541.91,,,1.32,21176,55945,0.378514613,380,4414,7.748300861,79,530,84,3864,35051,37037,34201,1684,0.049238326,143577,4.198035145,270.9,995,111,0,398,49,850,78,714,771,90,575,108,55,28,81,540,112,403,109,1247,431,815,602,494,293,1195,393,386,217,317,0,11,0,0,0,52,157,26,37,0,0,52,199,167,80
35.5,542.41,,,1.27,21689,57174,0.379350754,412,5006,6.946464243,36,516,60,3769,35495,37588,34774,1431,0.041151435,137051,3.941191695,265.6027132,742,161,0,415,93,986,58,597,851,104,406,41,0,0,118,448,42,494,96,1432,439,671,554,1337,220,1374,411,456,300,390,0,16,22,0,0,69,96,0,14,16,23,0,270,92,52
36,542.91,,,1.45,21201,56255,0.376873167,402,5198,6.737976145,30,446,63,4010,36397,37045,35024,1288,0.036774783,130306,3.720477387,292.1659193,809,15,0,638,35,931,38,595,898,134,477,28,99,0,108,630,0,456,133,1414,385,678,698,343,81,1265,266,564,459,421,91,0,0,0,54,115,244,0,150,47,0,0,337,87,45
36.5,543.41,543.43,15.72,1.12,21245,59520,0.356938844,459,5131,6.96803742,47,420,81,4034,37047,35433,35753,1211,0.033871284,124525,3.48292451,296.4880952,907,95,21,481,108,713,0,578,856,83,604,64,225,36,87,295,274,408,92,1297,439,695,558,1006,102,909,203,459,159,441,0,112,73,0,0,70,84,240,9,167,0,6,154,145,23
37,543.91,,,1.39,19925,58604,0.339993857,457,5376,6.63374256,86,488,109,3926,36775,36522,35663,1526,0.042789446,122404,3.432240698,250.8278689,757,0,8,617,58,669,0,560,856,21,598,48,28,24,91,706,78,496,111,1583,349,715,952,758,175,1280,222,412,249,397,85,0,0,0,100,50,217,213,125,77,62,47,90,43,164
37.5,544.41,,,1.26,20837,59523,0.350066361,461,5298,6.741034353,31,396,36,3980,37801,35701,35714,1180,0.033040264,118953,3.330710646,300.3863636,868,50,20,277,33,1021,0,587,871,56,537,85,86,0,53,350,118,358,96,1245,260,626,591,953,62,789,284,437,111,351,93,105,0,156,0,18,0,0,76,74,21,0,339,123,62
38,544.91,,,1.17,20983,59319,0.353731519,496,5304,6.71719457,11,368,67,3871,38214,35297,35628,1182,0.033176154,118816,3.334905131,322.8695652,810,49,66,497,106,938,0,568,864,55,619,116,49,31,177,640,0,417,83,1446,361,690,582,595,108,955,412,494,352,268,96,0,6,0,0,49,128,34,0,38,0,45,169,117,43
38.5,545.41,545.43,15.38,1.27,21971,56670,0.387700723,499,5236,7.097784568,86,395,67,4071,37787,37146,37164,1073,0.028872027,121456,3.268108923,307.4835443,833,134,0,445,108,784,0,636,837,221,660,63,16,43,80,263,260,401,104,1241,402,699,375,995,203,1114,278,368,122,378,0,107,70,0,55,32,60,227,126,45,100,60,177,116,53
39,545.91,,,1.39,20057,62285,0.322019748,540,5274,6.916951081,24,406,57,4059,37519,37289,36480,1527,0.041858553,127378,3.491721491,313.7389163,915,209,68,379,43,1225,28,563,855,43,436,67,0,11,18,246,333,386,57,1311,417,613,871,398,56,955,656,556,398,330,0,13,36,138,0,76,48,0,73,120,0,22,546,0,67
39.5,546.41,,,1.2,20967,61637,0.340169054,481,5427,6.70923162,63,401,7,4002,38293,37854,36411,1261,0.034632391,134764,3.701189201,336.0698254,948,104,28,440,45,825,0,600,894,137,671,68,79,0,41,286,220,368,45,1299,516,514,555,833,131,1028,391,419,199,333,33,60,0,0,0,0,80,67,70,0,0,0,245,42,0
40,546.91,,,1.29,20660,58505,0.353132211,513,5421,6.602840804,87,401,80,4038,37754,37178,35794,1199,0.033497234,136095,3.802173549,339.3890274,723,9,0,534,15,652,0,534,909,143,663,53,51,28,73,327,36,422,99,1317,416,631,598,1868,0,1333,234,498,98,442,0,76,0,0,0,35,124,400,94,105,0,25,0,117,0
