Position,Relative_Position,Position,Mag_Sus,MSE,Incoherence,Coherence,Inc/Coh,Al,Si,Si/Ti,P,S,Cl,Ar,K,Ca,Ti,Mn,Mn/Ti,Fe,Fe/Ti,Fe/S,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Pd,Cd,In,Sn,Sb,Cs,Ba,La,Pr,Nd,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,W,Re,Os,Au,Hg,Pb,Bi,Po,At,Ra,Ac,Th,U
75.5,582.41,,,1.22,23041,61514,0.37456514,418,4824,7.681384743,0,360,49,3877,41290,46913,37055,1167,0.031493726,91537,2.470300904,254.2694444,608,206,79,465,130,626,19,874,1118,55,844,146,33,0,101,509,140,476,70,1341,433,595,470,658,0,882,349,511,285,424,0,101,170,40,36,0,28,488,33,0,56,14,0,47,32
76,582.91,,,1.05,21673,59568,0.363836288,426,5018,7.582901554,30,454,88,4113,41921,48286,38051,1570,0.041260414,92371,2.427557751,203.4603524,721,145,33,394,55,791,0,768,1074,122,686,112,139,24,108,785,0,592,119,1536,536,484,787,780,65,757,287,398,195,364,44,43,34,53,0,0,0,162,0,0,78,0,157,123,20
76.5,583.41,583.43,23.76,1.27,22669,59610,0.380288542,404,5051,7.714116017,36,429,113,3999,42259,49472,38964,1025,0.026306334,91834,2.356893543,214.0652681,671,55,22,606,81,987,117,788,1174,91,623,37,40,39,82,566,196,526,151,1445,488,635,650,1032,0,906,237,669,260,473,103,111,29,0,0,82,98,0,109,0,0,47,589,0,98
77,583.91,,,1.25,21692,58636,0.369943379,419,5115,7.508308895,50,407,98,4167,41838,48878,38405,1599,0.041635204,88315,2.299570368,216.990172,600,81,109,464,90,705,95,926,1251,251,756,34,84,56,93,929,0,660,149,1527,394,773,866,361,0,792,362,580,416,300,154,0,0,39,33,199,77,226,78,0,0,0,156,158,144
77.5,584.41,,,1.14,22936,59088,0.388166802,377,5065,7.476011846,77,388,114,4262,40903,47687,37866,853,0.022526805,87423,2.308746633,225.3170103,581,95,15,560,101,635,0,739,1165,143,671,115,128,8,71,675,147,700,228,1439,476,774,521,970,0,1054,111,585,124,530,0,69,133,66,0,0,0,331,114,112,76,0,78,25,0
78,584.91,,,1.2,23014,61209,0.375990459,381,4655,7.93104189,44,320,63,4053,39805,45735,36919,915,0.024783987,86913,2.354153688,271.603125,501,279,49,429,100,756,0,602,1236,59,733,46,40,72,53,362,165,558,141,1495,331,728,543,774,42,922,359,503,311,452,0,80,207,200,82,0,20,193,98,138,62,50,181,18,25
78.5,585.41,585.43,23.69,1.16,23351,60610,0.385266458,433,4762,7.633767325,13,328,104,4150,38655,45442,36352,836,0.022997359,84490,2.32421875,257.5914634,664,68,10,580,113,921,22,794,1232,28,796,114,67,9,41,703,143,570,135,1490,468,663,555,38,36,690,71,531,270,377,0,11,125,0,0,0,20,40,70,0,0,0,390,0,97
79,585.91,,,1.1,21264,58770,0.361817254,428,5159,7.021515798,41,384,90,4160,40052,45441,36224,1130,0.031194788,82631,2.28111197,215.1848958,506,51,21,581,64,610,0,716,1378,133,752,41,34,0,136,192,241,608,124,1441,429,641,843,377,0,719,381,522,366,306,115,0,0,0,0,30,0,309,0,115,0,148,181,107,69
79.5,586.41,,,1.3,21810,60230,0.362111904,421,5268,6.838838269,51,261,81,4180,40340,45835,36027,1193,0.033114053,83074,2.3058817,318.2911877,617,138,134,664,60,774,23,904,1327,191,752,108,0,0,0,534,126,482,72,1465,402,633,571,442,0,603,305,490,250,265,0,0,89,0,0,0,0,60,0,0,28,23,380,115,133
80,586.91,,,1.1,22682,60062,0.377643102,414,5122,7.181179227,46,305,31,3984,39798,47130,36782,998,0.027132837,80230,2.181229949,263.0491803,478,84,90,635,108,994,0,753,1349,203,774,103,94,70,61,606,184,520,170,1452,417,629,610,874,0,870,315,549,168,378,18,94,36,0,0,43,55,0,0,53,29,7,586,205,133
80.5,587.41,587.43,24.05,1.27,20176,61023,0.330629435,426,5139,7.312706752,33,263,19,4170,39754,47050,37580,1208,0.032144758,81353,2.164795104,309.3269962,504,101,0,716,144,840,135,883,1358,182,711,84,0,6,27,345,208,446,74,1317,334,779,1086,730,0,667,129,523,154,487,0,63,162,0,71,0,95,0,0,0,66,55,510,94,105
81,587.91,,,1.16,23154,59954,0.386196084,402,5034,7.395709178,0,348,73,4112,40729,44674,37230,1210,0.032500672,83139,2.233118453,238.9051724,626,180,28,803,133,679,0,916,1244,181,723,63,27,11,135,579,211,560,201,1494,420,706,435,402,48,860,127,382,197,458,0,108,77,0,60,61,111,168,25,0,59,25,330,99,85
81.5,588.41,,,1.23,21849,61564,0.354898967,359,4919,7.751778817,19,335,77,4047,41635,45693,38131,1031,0.027038368,83959,2.201856757,250.6238806,682,59,19,631,88,938,107,955,1306,183,805,49,39,10,43,343,262,488,76,1294,409,576,695,374,0,680,258,469,256,288,177,23,0,0,0,51,136,0,0,0,11,11,364,196,107
82,588.91,,,1.19,21665,61124,0.354443426,367,5037,7.436370856,34,325,71,4110,41232,46541,37457,1061,0.028325814,84160,2.246843047,258.9538462,669,37,0,671,57,437,0,692,1203,144,832,0,81,0,116,407,207,578,139,1452,447,617,835,595,0,703,0,566,210,559,83,103,0,0,0,18,148,472,0,164,54,0,43,125,43
82.5,589.41,589.43,24.17,1.29,22651,59447,0.381028479,453,5010,7.56247505,50,358,62,4019,42264,47797,37888,1106,0.029191301,85814,2.264938767,239.7039106,839,125,79,628,79,649,0,911,1253,228,684,111,46,53,67,543,155,508,82,1538,383,622,470,0,39,602,282,519,276,385,77,57,0,0,27,84,100,188,41,16,27,0,226,153,135
83,589.91,,,1.24,21845,61540,0.354972376,449,5024,7.723328025,71,374,116,4032,42640,48912,38802,787,0.02028246,87064,2.243801866,232.7914439,452,141,107,476,117,948,122,898,1270,97,586,151,36,0,141,476,256,560,124,1472,441,583,644,1018,0,999,286,634,328,438,0,37,150,92,55,0,41,0,46,19,116,0,521,68,96
83.5,590.41,,,1.27,22586,60367,0.374144814,372,4795,7.908863399,59,377,119,3976,41219,47247,37923,1710,0.045091369,89754,2.366743137,238.0742706,686,142,179,763,127,732,0,760,1062,149,820,130,0,61,180,446,248,542,194,1437,495,804,791,890,0,517,331,514,252,396,0,25,155,0,26,0,111,338,41,86,106,0,55,24,0
84,590.91,,,1.17,22652,63245,0.358162701,476,4573,7.937021649,61,380,77,4180,39148,44207,36296,1318,0.036312541,89314,2.460711924,235.0368421,661,20,77,468,184,906,86,840,1117,69,727,148,163,0,111,621,75,508,132,1538,295,637,682,414,0,777,295,530,283,490,70,71,39,113,23,126,0,90,0,0,0,6,355,35,124
84.5,591.41,591.43,23.56,1.16,22318,64705,0.344919249,360,5170,7.077176015,0,327,55,4135,40266,44480,36589,1417,0.038727486,87834,2.400557545,268.6055046,644,66,81,613,70,756,104,794,1206,126,702,0,0,46,76,333,187,444,164,1388,410,773,555,567,30,713,297,427,256,402,146,6,44,0,0,0,0,328,137,0,0,67,131,56,51
85,591.91,,,1.14,23400,60197,0.388723691,421,5125,7.018146341,0,285,63,3988,40296,44568,35968,1549,0.043066059,86779,2.412672375,304.4877193,689,204,93,562,46,860,106,877,1080,61,970,142,0,60,156,572,144,563,97,1544,380,623,506,172,22,1108,355,534,387,368,0,9,139,0,34,0,36,187,114,0,127,0,124,15,45
85.5,592.41,,,1.37,23216,63063,0.368139797,390,5178,6.867130166,50,375,135,4164,40125,45369,35558,991,0.027869959,87991,2.474576748,234.6426667,681,170,65,597,101,835,0,850,1246,83,813,119,29,44,90,739,0,555,163,1541,450,609,671,974,0,871,283,520,230,443,0,0,169,0,0,0,69,252,22,51,47,17,239,96,5
86,592.91,,,1.35,22535,60683,0.371356063,426,4881,7.446629789,0,345,140,4027,41059,47785,36347,1520,0.041819132,90525,2.490576939,262.3913043,625,54,21,737,127,729,27,826,1292,53,727,61,28,20,34,629,7,565,105,1505,345,708,743,409,0,893,152,486,245,422,66,32,0,0,12,61,106,405,0,0,63,33,224,190,37
86.5,593.41,593.43,23.57,1.1,21937,61463,0.356913916,379,4578,8.126911315,38,350,69,4115,41473,47448,37205,1302,0.034995296,92207,2.478349684,263.4485714,636,77,29,642,124,911,26,749,1214,212,657,0,0,32,92,374,264,460,118,1385,507,588,822,766,0,683,247,506,286,522,117,91,0,0,0,151,70,149,122,86,19,23,255,34,81
87,593.91,,,1.23,22705,61116,0.371506643,370,4460,8.55941704,47,391,66,3863,41012,46439,38175,1413,0.037013752,95917,2.512560576,245.3120205,781,190,28,732,78,725,0,823,1287,24,636,41,0,42,115,288,287,507,48,1530,500,616,635,618,0,712,273,483,244,517,21,154,68,0,28,38,212,400,124,0,107,0,131,20,80
87.5,594.41,,,1.25,23694,63257,0.374567242,411,4366,8.434264773,0,325,66,4140,40045,46623,36824,1484,0.040299804,99982,2.715131436,307.6369231,695,81,0,501,164,900,0,820,1187,122,530,90,70,0,88,451,165,606,80,1477,355,626,513,351,0,1226,257,545,307,360,52,37,19,35,61,51,148,146,24,16,106,48,472,184,34
88,594.91,,,1.2,22789,64437,0.353663268,467,4596,7.983246301,0,364,76,4279,40132,45913,36691,1297,0.035349268,99827,2.720748958,274.25,765,236,78,550,149,1115,98,786,1165,164,581,29,61,0,26,548,136,404,164,1412,452,754,722,334,0,997,491,554,382,388,10,78,86,0,17,43,151,0,56,16,83,58,516,113,34
88.5,595.41,595.43,24,1.15,22703,64279,0.353194667,415,5012,7.344173982,30,344,36,3950,40276,46334,36809,785,0.021326306,96546,2.622891141,280.6569767,624,143,5,610,119,976,96,849,1232,250,671,66,80,27,129,695,0,579,143,1478,470,607,747,732,0,884,218,542,219,484,0,110,154,0,0,0,93,68,133,0,77,58,364,70,4
89,595.91,,,1.16,21563,59551,0.362092996,523,5791,6.620963564,36,378,96,4142,41686,47931,38342,1845,0.048119556,93541,2.439648427,247.462963,650,93,0,547,63,947,0,725,1156,105,556,72,85,0,32,750,0,491,109,1390,437,635,641,222,0,627,178,497,292,457,104,28,0,0,24,91,101,0,24,0,13,0,403,133,24
89.5,596.41,,,1.33,21807,62073,0.351312165,506,5348,7.087509349,60,349,112,3952,41674,47788,37904,1004,0.02648797,92378,2.437157028,264.6934097,754,85,0,738,131,809,0,599,1142,185,835,40,32,68,91,528,137,594,91,1492,465,686,633,392,0,686,190,531,265,490,150,78,0,0,62,0,202,414,27,316,129,65,11,146,95
90,596.91,,,1.2,20803,62325,0.333782591,485,5478,7.0449069,96,377,87,3843,43722,49187,38592,1129,0.029254768,93958,2.434649668,249.2254642,681,91,0,627,100,815,0,837,1271,133,627,0,0,43,44,381,299,528,125,1552,354,708,987,408,0,745,49,659,212,615,0,99,37,0,0,86,187,306,108,12,13,0,283,50,35
90.5,597.41,597.43,24.86,1.16,21409,63735,0.335906488,487,5511,7.001270187,5,365,113,3881,43935,51951,38584,1320,0.034211072,94336,2.444951275,258.4547945,726,101,66,673,189,863,78,817,1238,79,396,62,62,0,55,343,315,540,128,1474,399,592,724,597,0,641,238,517,276,458,52,97,153,0,19,109,189,137,114,0,0,38,424,59,0
91,597.91,,,1.16,21555,63471,0.339603914,498,5648,6.853399433,47,338,81,3933,43539,50507,38708,1410,0.036426578,93960,2.427405188,277.9881657,685,174,17,480,108,611,11,684,1145,100,741,94,119,44,108,494,179,562,93,1546,425,605,732,739,75,918,376,491,179,482,26,166,68,84,0,85,116,513,123,90,21,59,4,77,0
91.5,598.41,,,1.33,21249,62920,0.337714558,490,5529,7.025682764,46,394,119,4119,43055,47200,38845,1201,0.03091775,96235,2.47741022,244.251269,726,55,15,663,71,636,0,812,1202,152,845,63,13,0,98,430,254,626,135,1556,414,730,723,725,0,813,219,494,191,352,0,31,123,0,20,0,0,492,0,0,13,21,0,74,97
92,598.91,,,1.2,22027,61398,0.358757614,479,5650,6.892212389,93,399,132,4171,43100,45870,38941,981,0.025191957,97167,2.495236383,243.5263158,752,152,0,553,52,610,0,744,1189,111,771,163,134,34,121,587,72,560,168,1580,489,755,686,679,91,741,256,380,135,403,0,84,0,0,0,0,41,492,0,0,59,0,0,66,143
92.5,599.41,599.43,24.68,1.18,22057,63547,0.347097424,443,5208,7.251536098,48,409,102,4020,42580,45101,37766,1262,0.0334163,96084,2.54419319,234.9242054,645,120,15,513,93,796,12,751,1053,97,719,0,0,51,131,461,100,592,163,1669,379,811,783,582,32,985,215,555,260,413,0,74,178,0,30,0,124,254,66,0,108,10,45,55,0
93,599.91,,,1.26,20781,63896,0.325231626,446,5248,7.334222561,10,328,45,3888,42188,45212,38490,1563,0.04060795,99145,2.575863861,302.2713415,759,17,101,606,127,1268,0,906,1137,72,545,36,95,35,124,200,379,444,28,1277,436,598,1138,609,0,634,187,644,278,389,106,55,110,0,25,37,59,0,50,0,50,52,551,169,0
93.5,600.41,,,1.22,22062,62119,0.355157037,464,5428,7.109801032,65,397,77,4020,42751,45192,38592,852,0.022077114,103590,2.684235075,260.9319899,784,109,27,540,109,1000,34,830,979,86,625,0,98,0,92,505,226,477,118,1461,436,761,681,743,52,962,277,401,102,371,0,121,66,0,22,0,75,232,0,0,81,0,227,43,0
94,600.91,,,1.28,22344,60009,0.372344148,452,5115,7.322776149,28,514,70,3748,41714,44469,37456,1111,0.029661469,112965,3.015938701,219.7762646,632,166,24,404,32,1190,0,710,1038,103,677,0,22,45,120,395,277,540,149,1357,432,689,558,1033,30,1459,298,510,301,328,0,0,0,0,0,21,94,443,104,36,0,0,58,0,0
94.5,601.41,601.43,24.14,1.22,21601,62795,0.343992356,466,5309,7.373139951,0,546,19,3890,42701,43876,39144,1034,0.026415287,118073,3.016375434,216.2509158,759,24,73,521,96,1505,53,759,966,104,570,0,58,0,0,504,153,472,0,1365,403,660,708,978,0,912,326,560,287,435,125,0,0,0,0,60,65,182,126,0,0,9,225,0,95
95,601.91,,,1.29,22978,63302,0.362990111,463,5319,7.302124459,75,517,90,3834,42811,45913,38840,1308,0.033676622,116874,3.009114315,226.0618956,877,101,25,560,113,1616,24,795,999,116,535,24,11,0,64,740,0,498,157,1555,456,637,578,696,198,988,314,434,166,304,0,78,0,0,107,165,203,19,126,0,0,52,455,61,272
95.5,602.41,,,1.32,23394,59891,0.390609607,518,5255,7.346146527,32,568,95,3977,42205,44759,38604,1929,0.049968915,115990,3.004610921,204.2077465,848,21,42,652,42,1845,61,796,991,106,654,178,118,19,49,657,0,387,62,1418,472,580,477,804,77,1067,180,497,180,312,97,19,0,0,0,114,157,0,0,0,0,0,436,104,39
96,602.91,,,1.31,22539,60648,0.371636328,519,5246,7.191383912,7,480,54,4046,41785,42247,37726,801,0.021232042,112649,2.98597784,234.6854167,924,181,30,396,142,1912,97,624,840,84,582,43,120,0,0,450,219,383,24,1282,461,622,459,252,64,904,375,514,450,587,154,30,0,96,62,103,56,0,0,0,0,0,345,77,0
96.5,603.41,603.43,23.62,1.31,22062,64623,0.341395478,535,5552,6.825288184,46,428,87,4049,42046,41296,37894,1352,0.035678472,115228,3.040798016,269.2242991,674,49,80,422,139,1741,0,705,1051,188,613,143,116,27,29,529,199,356,126,1371,500,549,773,1147,32,990,345,577,331,421,7,0,129,72,46,11,74,28,89,95,21,128,355,140,139
97,603.91,,,1.29,23086,63148,0.365585608,441,5379,6.973229225,24,427,83,4049,41503,42397,37509,870,0.023194433,115275,3.073262417,269.9648712,717,53,53,426,59,1264,0,582,1010,55,623,32,102,54,0,440,220,555,119,1431,427,632,568,1060,0,1150,394,529,257,316,45,0,0,0,0,99,5,448,16,109,0,103,0,168,79
97.5,604.41,,,1.29,22177,63158,0.351135248,475,5304,6.886312217,35,470,93,4062,40354,43669,36525,1091,0.029869952,112430,3.07816564,239.212766,691,166,17,401,66,1722,66,714,952,119,506,0,0,0,41,677,106,503,121,1476,467,689,836,1373,10,1091,261,468,159,503,0,71,91,113,0,0,0,0,0,0,121,0,438,56,46
98,604.91,,,1.34,23693,59904,0.395516159,427,5318,7.173373449,39,419,47,3971,41186,42423,38148,1549,0.040605012,114656,3.005557303,273.6420048,769,64,48,562,18,1395,0,726,987,211,735,110,0,0,76,467,163,458,54,1441,359,736,521,535,63,1021,283,456,344,257,24,0,0,0,32,0,117,276,0,109,58,0,18,187,86
98.5,605.41,605.43,23.88,1.25,23057,64020,0.360153077,424,5146,7.595802565,18,468,94,3994,42497,43045,39088,1151,0.029446377,116085,2.96983729,248.0448718,902,169,42,508,73,1631,32,787,1073,144,647,33,85,7,104,390,425,415,149,1468,453,690,729,646,160,844,408,439,354,355,75,0,0,0,0,0,134,0,0,0,49,0,428,175,39
99,605.91,,,1.15,22334,60183,0.371101474,451,5205,7.29414025,41,419,105,4099,42317,43933,37966,1630,0.042933151,111316,2.931991782,265.6706444,554,38,40,432,37,1574,28,821,1153,227,492,48,87,0,98,335,380,536,167,1490,471,656,800,931,29,1165,317,499,260,321,0,0,0,54,7,78,95,0,0,31,18,118,586,238,94
99.5,606.41,,,1.22,22499,62659,0.359070525,457,5382,7.060572278,73,437,82,4158,41324,44421,38000,1691,0.0445,101630,2.674473684,232.5629291,852,91,32,368,114,1436,30,773,1111,245,656,73,66,13,120,678,70,537,97,1515,421,655,771,527,0,877,166,581,297,431,0,10,136,144,29,24,0,0,0,0,71,75,595,151,71
100,606.91,,,1.32,21695,61972,0.350077454,548,5739,6.571528141,60,378,81,4278,41810,46783,37714,1015,0.026913083,94693,2.510818264,250.510582,591,0,0,254,99,1060,20,865,1257,105,695,0,71,0,45,943,0,451,62,1632,262,680,836,655,0,1145,264,658,322,402,47,0,0,174,0,0,0,0,24,0,10,0,307,68,0
100.5,607.41,607.43,26.35,1.19,22937,63092,0.363548469,499,5861,6.493943013,12,387,60,4148,42033,46983,38061,2047,0.053782087,95045,2.497175587,245.5943152,706,155,43,606,109,973,20,739,1223,235,727,126,61,19,113,674,127,669,163,1457,528,673,741,556,26,915,218,570,204,427,0,64,87,0,25,50,100,7,161,88,188,52,463,101,83
101,607.91,,,1.44,22136,60794,0.36411488,506,5795,6.559792925,44,391,30,4084,42388,47916,38014,1318,0.034671437,99660,2.621665702,254.8849105,608,128,0,487,151,1087,97,821,1346,86,690,94,44,31,92,721,30,407,97,1540,310,643,669,967,0,1016,229,511,141,441,0,66,77,38,0,0,0,0,0,0,100,67,374,217,221
101.5,608.41,,,1.57,23452,64721,0.362355341,607,6052,6.559980172,35,480,92,3890,43255,49921,39701,1574,0.039646357,101990,2.568952923,212.4791667,573,0,43,545,116,1074,61,779,1259,135,877,192,66,75,59,821,0,729,125,1739,494,443,554,1068,0,1426,184,604,319,338,21,0,0,0,0,26,70,0,0,0,0,0,310,72,69
102,608.91,,,1.33,21855,61652,0.354489716,522,6021,6.793555888,0,447,72,4059,42465,49423,40904,1362,0.033297477,106304,2.598865637,237.8165548,724,10,0,665,95,1286,50,863,1228,140,522,59,0,28,92,495,239,604,135,1480,468,713,706,656,0,915,240,502,166,382,205,96,0,0,23,82,168,0,0,0,0,16,364,165,0
102.5,609.41,609.43,29.18,1.23,22011,63651,0.345807607,576,5839,6.864360336,42,487,77,3720,42408,51719,40081,1453,0.036251591,111998,2.79429156,229.9753593,718,74,0,584,72,1459,0,708,1174,153,509,62,48,80,50,634,89,594,136,1504,471,588,504,575,75,1149,142,506,256,385,0,39,27,0,0,13,54,0,0,0,14,0,547,138,6
103,609.91,,,1.18,22378,63546,0.352154345,531,5763,6.791428076,91,482,96,4008,42076,53908,39139,1109,0.028334909,111945,2.860190603,232.2510373,741,125,117,794,140,1467,5,684,1191,171,561,116,24,0,37,578,153,559,130,1448,518,517,631,879,108,1036,314,504,294,224,0,0,94,0,130,12,231,149,151,13,59,70,268,133,193
103.5,610.41,,,1.2,21504,60938,0.352883258,503,5667,6.719604729,8,475,67,4054,41001,52518,38080,1170,0.03072479,113216,2.973109244,238.3494737,845,74,74,620,139,1469,33,750,1204,55,696,70,81,0,48,312,269,583,83,1374,368,613,867,512,62,895,316,521,267,385,141,40,0,0,18,139,108,320,81,0,0,0,0,105,60
104,610.91,,,1.2,23074,61724,0.373825416,476,5571,6.78370131,45,604,101,4114,39749,51510,37792,1365,0.036118755,113772,3.010478408,188.3642384,809,118,0,646,109,1511,0,723,1116,60,544,0,133,0,117,309,285,566,173,1502,486,614,653,1429,125,911,245,404,130,522,0,87,66,0,54,69,194,214,143,142,15,24,301,27,46
104.5,611.41,611.43,30.17,1.2,22712,63483,0.357765071,434,5030,7.499801193,21,581,73,3975,38989,48291,37724,1137,0.030139964,113106,2.998250451,194.6746988,687,101,36,543,142,1496,61,752,1083,86,500,18,90,56,72,498,341,546,56,1331,426,707,608,869,24,988,340,520,302,420,34,40,72,0,84,34,67,122,75,40,119,88,412,150,40
105,611.91,,,1.19,23735,62096,0.38223074,471,4911,7.666666667,31,585,73,3981,39936,43464,37651,1302,0.034580755,117416,3.118536028,200.7111111,909,106,62,702,89,1496,0,713,1038,20,451,10,58,47,67,585,156,578,136,1501,493,666,530,637,111,1065,302,446,193,420,0,67,0,0,0,42,167,277,47,66,66,14,208,140,9
105.5,612.41,,,1.3,23669,62273,0.380084467,520,5249,7.33053915,31,543,39,3977,42163,42435,38478,1648,0.042829669,118979,3.092130568,219.1141805,781,46,15,580,75,1526,71,820,955,99,529,126,117,16,23,502,262,395,121,1526,393,633,614,1291,0,1337,99,501,67,478,0,57,22,0,38,5,57,56,0,0,0,0,337,242,0
106,612.91,,,1.42,23483,65597,0.357988932,483,5314,7.212645841,22,462,56,3922,40788,43241,38328,1281,0.033422041,114002,2.974379044,246.7575758,718,105,0,448,53,1479,0,737,941,153,492,48,0,24,126,468,241,494,134,1613,518,681,700,719,0,1291,135,657,281,494,0,21,132,145,11,0,0,0,0,35,81,0,389,166,0
106.5,613.41,613.43,27.9,1.26,23259,63865,0.364190088,487,5362,7.378217083,12,417,62,3959,41610,43416,39562,1436,0.036297457,112664,2.847783226,270.177458,829,182,0,629,18,1135,0,726,1129,165,571,0,152,0,60,440,245,445,72,1383,399,527,594,412,59,892,41,449,144,538,0,73,96,0,0,0,44,244,0,0,56,0,201,94,51
107,613.91,,,1.25,22627,64488,0.35087148,459,4817,7.84679261,58,431,82,3977,39141,42524,37798,979,0.025900841,107332,2.839621144,249.0301624,588,122,40,729,74,1027,0,617,1045,116,493,22,47,78,9,697,6,492,147,1471,359,795,817,1067,19,1133,290,490,177,453,125,134,0,0,8,160,104,270,116,126,0,9,212,0,26
107.5,614.41,,,1.15,22837,62781,0.363756551,434,4986,7.286602487,15,400,59,4207,38746,41795,36331,1173,0.032286477,102564,2.823043682,256.41,821,0,80,597,76,829,0,764,1129,41,584,47,135,0,27,654,120,581,128,1551,313,784,910,364,0,1049,136,621,257,461,76,28,0,60,35,93,111,436,28,104,50,147,103,180,67
108,614.91,,,1.25,21497,62494,0.343985023,607,5864,6.125,85,398,71,4056,39843,44496,35917,1174,0.032686472,99666,2.774897681,250.4170854,695,40,59,789,119,921,56,697,1148,106,862,0,99,0,92,673,23,498,152,1428,349,758,844,263,0,1070,255,671,409,429,0,0,97,0,18,0,171,201,108,40,44,21,162,49,15
108.5,615.41,615.43,26.02,1.21,22328,67124,0.332638103,548,6125,6.216816327,25,407,40,3866,41944,48529,38078,1097,0.028809286,99130,2.603340512,243.5626536,653,99,34,827,117,747,41,815,1233,128,824,5,0,35,58,203,258,540,58,1423,429,578,668,389,0,1020,193,539,343,457,51,12,0,0,0,96,211,315,75,51,0,32,85,150,112
109,615.91,,,1.34,22973,62142,0.369685559,575,6590,6.013808801,39,403,49,3969,45281,50522,39631,1316,0.033206328,95739,2.41576039,237.5657568,616,211,92,752,92,1050,0,829,1119,118,574,83,116,9,51,394,288,414,93,1414,418,726,548,721,0,623,337,410,257,390,0,50,147,0,36,0,36,0,47,70,159,45,639,147,58
109.5,616.41,,,1.09,21888,63206,0.346296238,580,6267,6.374022658,57,371,77,4090,43979,48784,39946,1579,0.039528363,92185,2.30774045,248.4770889,685,134,46,733,86,423,83,924,1230,22,1061,0,0,0,156,391,207,475,62,1432,420,660,744,120,108,805,110,426,175,357,0,42,58,0,0,13,61,535,20,0,0,14,0,103,0
110,616.91,,,1.25,21764,59185,0.36772831,548,6202,6.133344083,8,371,66,4001,44244,48071,38039,462,0.01214543,92056,2.420042588,248.1293801,474,108,50,502,66,757,0,850,1295,181,734,88,66,17,100,444,235,573,135,1407,439,536,479,1454,0,946,206,430,156,415,23,59,0,0,0,90,13,168,137,9,31,0,194,76,21
110.5,617.41,617.43,25.63,1.18,21813,62733,0.347711731,565,6279,6.180920529,60,432,96,4082,42217,48786,38810,933,0.024040196,98767,2.544885339,228.6273148,705,0,78,557,69,289,22,862,1505,143,840,81,104,0,127,599,104,547,161,1507,301,721,565,672,0,790,169,495,153,279,33,26,47,0,23,0,165,538,60,33,0,68,0,137,83
111,617.91,,,1.3,21755,58906,0.369317217,542,6086,6.207854091,46,464,92,4127,40200,47985,37781,472,0.012493052,98886,2.617347344,213.1163793,661,82,0,605,117,780,0,813,1535,101,722,115,111,27,161,563,101,603,203,1522,421,779,643,721,0,968,143,589,190,405,0,54,183,0,0,0,37,26,0,49,52,0,389,93,22
111.5,618.41,,,1.24,22714,58664,0.387188054,582,5941,6.661504797,103,475,133,4279,42008,47420,39576,1312,0.033151405,101972,2.576612088,214.6778947,650,98,66,631,0,555,0,710,1248,99,830,164,0,0,69,311,307,593,235,1554,530,660,423,659,138,888,336,413,300,252,0,0,37,0,8,0,0,339,0,132,0,0,0,109,57
112,618.91,,,1.22,21119,59869,0.352753512,522,5872,6.571696185,26,497,64,4047,40915,46648,38589,1025,0.026561974,101680,2.634947783,204.5875252,705,73,144,624,48,702,79,723,1185,71,691,263,16,7,37,564,68,553,117,1381,448,671,691,474,0,849,341,528,384,250,100,0,0,0,0,0,73,220,6,0,79,44,159,209,114
112.5,619.41,619.43,22.89,1.33,21845,60752,0.359576639,590,6171,6.12040188,72,476,55,4048,41561,47722,37769,1172,0.031030739,102580,2.715984008,215.5042017,672,112,82,620,88,850,96,819,1241,192,698,97,50,8,74,903,0,477,78,1472,422,572,711,812,0,1205,308,648,353,366,0,47,108,0,0,0,96,77,32,0,52,0,212,87,55
113,619.91,,,1.23,20051,59194,0.338733655,585,6340,6.0829653,20,452,105,3985,41295,46708,38566,1826,0.047347404,104705,2.714956179,231.6482301,614,140,78,579,66,681,0,737,1216,178,639,103,59,0,87,563,65,495,75,1406,244,689,1138,943,0,874,345,545,358,321,0,0,60,0,0,0,48,301,50,89,49,0,220,13,147
113.5,620.41,,,1.28,20788,59300,0.350556492,575,6304,6.194321066,44,478,99,3957,42419,45265,39049,492,0.012599554,103984,2.662910702,217.539749,654,0,19,582,103,825,40,911,1146,108,652,58,75,0,97,318,269,449,126,1293,440,732,934,770,0,741,186,518,297,490,110,32,0,0,0,0,184,301,70,0,63,100,89,150,60
114,620.91,,,1.32,21178,60555,0.349731649,641,6826,5.870495166,60,477,81,4019,42958,47922,40072,1495,0.037307846,104903,2.617862847,219.9224319,843,218,57,597,0,742,32,826,1206,67,833,92,59,55,62,303,343,544,151,1475,391,731,836,303,39,808,236,476,313,378,0,0,124,0,0,0,0,289,0,0,29,0,49,162,74
114.5,621.41,621.43,21.46,1.15,20911,61531,0.339844956,647,7180,5.488857939,72,517,96,4056,43470,57179,39410,2529,0.06417153,106624,2.705506217,206.2359768,758,136,130,667,109,888,0,737,1097,184,511,148,102,47,76,679,80,686,148,1496,355,695,864,625,125,794,134,359,214,510,0,62,117,0,68,66,83,184,72,162,11,0,312,104,0
115,621.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.5,622.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
